IATA,ICAO,Airline,Callsign,Country
DZ,LMZ,Starline.kz,ALUNK,Kazakhstan
SD,SUD,Sudan Airways,SUDANAIR,Sudan
EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark
SY,SCX,Sun Country Airlines,SUN COUNTRY,USA
ECHO ROMEO,Israel,,,
XQ,SXS,SunExpress,SUNEXPRESS,Turkey
CQ,EXL,Sunshine Express Airlines,SEA,Australia
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia
WG,SWG,Sunwing Airlines,SUNWING,Canada
SO,HKA,Superior Aviation,SPEND AIR,USA
PY,SLM,Surinam Airways,SURINAM,Suriname
SA,SZL,Swaziland Airlink,SWAZILINK,Swaziland
Q7,SWQ,Swift Air,SWIFTFLIGHT,USA
W3,SWT,Swiftair,SWIFT,Spain
LX,SWU,Swiss European Air Lines,EUROSWISS,Switzerland
LX,SWR,Swiss International Air Lines,SWISS,Switzerland
7E,AWU,Sylt Air,SYLT-AIR,Germany
RB,SYR,Syrian Arab Airlines (Syrianair),SYRIANAIR,Syria
DT,DTA,TAAG Angola Airlines (Linhas Aéreas de Angola),DTA,Angola
T0,TPU,TACA Peru,TRANS PERU,Peru
VR,TCV,TACV,CABOVERDE,Cape Verde
VR,TCV,TACV Cabo Verde Airlines,CABOVERDE,Cape Verde
R9,TSD,TAF Linhas Aéreas,TAFI,Brazil
PZ,LAP,TAM Airlines,PARAGUAYA,Paraguay
JJ,TAM,TAM Airlines (TAM Linhas Aereas),TAM,Brazil
EQ,TAE,TAME,TAME,Ecuador
TP,TAP,TAP Portugal,AIR PORTUGAL,Portugal
3V,TAY,TNT Airways,QUALITY,Belgium
8R,TIB,TRIP Linhas Aereas,TRIP,Brazil
X3,TUI,TUIfly,TUIJET,Germany
6B,BLX,TUIfly Nordic,BLUESCAN,Sweden
7J,TZK,Tajik Air,TAJIKISTAN,Tajikistan
QT,TPA,Tampa Cargo,TAMPA,Colombia
TQ,TDM,Tandem Aero,TANDEM,Moldova
RO,ROT,Tarom,TAROM,Romania
SF,DTH,Tassili Airlines,TASSILI AIR,Algeria
U9,TAK,Tatarstan Airlines,TATARSTAN,Russia
T6,TVR,Tavrey Airlines,TAVREY,Ukraine
L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand
TG,THA,Thai Airways International,THAI,Thailand
MT,TCX,Thomas Cook Airlines,KESTREL,United Kingdom
FQ,TCW,Thomas Cook Airlines,THOMAS COOK,Belgium
DK,VKG,Thomas Cook Airlines Scandinavia,VIKING,Denmark
BY,TOM,Thomson Airways,TOMSON,United Kingdom
3P,TNM,Tiara Air,TIARA,Aruba (Netherlands)
TR,TGW,Tiger Airways,GO CAT,Singapore
TT,TGW,Tiger Airways Australia,GO CAT,Australia
ZT,AWC,Titan Airways,ZAP,United Kingdom
7T,TOB,Tobruk Air,TOBRUK AIR,Libya
9D,THE,Toumaï Air Tchad,TOUMAI AIR,Chad
WI,TDX,Tradewinds Airlines,TRADEWINDS EXPRESS,USA
N4,TNB,Trans Air Benin,TRANS-BENIN,Benin
Q8,TSG,Trans Air Congo,TRANS-CONGO,Congo, Republic of
M8,TMW,Trans Maldivian Airways,TRANS MALDIVIAN,Maldives
TL,TMA,Trans Mediterranean Airlines,TANGO LIMA,Lebanon
AX,LOF,Trans States Airlines,WATERSKI,USA
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus
GE,TNA,TransAsia Airways,TRANSASIA,Taiwan, Republic of China
UN,TSO,Transaero Airlines,TRANSOVIET,Russia
T9,TIW,Transcarga,TIACA,Venezuela
TH,TSE,Transmile Air Services,TRANSMILE,Malaysia
5T,TWE,Transwede Airways,TRANSWEDE,Sweden
9T,ABS,Transwest Air,ATHABASKA,Canada
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia
TN,TGN,Trigana Air Service,TRIGANA,Indonesia
3A,CLU,Triple Alpha Luftfahrtgesellschaft,CAROLUS,Germany
PM,TOS,Tropic Air,TROPISER,Belize
2T,TUX,Tulpar Air Service,TULPA,Kazakhstan
UG,TUX,TunisAir Express,TUNEXPRESS,Tunesia
TU,TAR,Tunisair,TUNAIR,Tunesia
3T,URN,Turan Air,TURAN,Azerbaijan
TK,THY,Turkish Airlines,TURKAIR,Turkey
T5,TUA,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan
T7,TJT,Twin Jet,TWINJET,France
UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
US,AWE,US Airways,CACTUS,USA
UH,USH,US Helicopter,US HELI,USA
U5,GWY,USA 3000 Airlines,GETAWAY,USA
UJ,JUS,USA Jet Airlines,JET USA,USA
UT,UTA,UTair Aviation,UTAIR,Russia
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
6Z,UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
B7,UIA,Uni Air,GLORY,Taiwan, Republic of China
UA,UAL,United Airlines,UNITED,USA
4H,UBD,United Airways (Bangladesh),UNITED BANGLADESH,Bangladesh
EU,UEA,United Eagle Airlines,UNITED EAGLE,China - Peoples Republic
5X,UPS,United Parcel Service,UPS,USA
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia
HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan
NN,MOV,VIM Airlines,MOV AIR,Russia
V6,VUR,VIP Ecuador,VIP,Ecuador
VG,VLM,VLM Airlines,RUBENS,Belgium
RG,VRN,VRG Linhas Aereas (VARIG),VARIG,Brazil
LC,VLO,Varig Logistica (VarigLog),VELOG,Brazil
RV,VEC,Venezolana,VECAR,Venezuela
VM,VOA,Viaggio Air,VIAGGIO,Bulgaria
VI,VES,Vieques Air Link,VIQUES,Puerto Rico
VN,HVN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam
4P,VIK,Viking Airlines,SWEDJET,Sweden
VQ,VPP,Vintage Props and Jets,VINTAGE,USA
VX,VRD,Virgin America,REDWOOD,USA
VS,VIR,Virgin Atlantic Airways,VIRGIN,United Kingdom
DJ,VOZ,Virgin Blue,VIRGIN,Australia
VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
ZG,VVM,Viva Macau,JACKPOT,China - Peoples Republic
VB,VIV,VivaAerobus,AEROENLACES,Mexico
XF,VLK,Vladivostok Air,VLADAIR,Russia
VA,VLE,Volare Airlines,VOLA,Italy
VI,VDA,Volga-Dnepr Airlines,VOLGA-DNEPR,Russia
VC,VAL,Voyageur Airways,VOYAGEUR,Canada
VY,VLG,Vueling Airlines,VUELING,Spain
W1,WDL,WDL Aviation,WDL,Germany
XW,GOT,WaltAir,GOTHIC,Sweden
3W,VNR,Wan Air,WAN AIR,French Polynesia
WT,WSG,Wasaya Airways,WASAYA,Canada
WJ,WEB,WebJet Linhas Aéreas,WEBJET,Brazil
2W,WLC,Welcome Air,WELCOMEAIR,Austria
PT,SWN,West Air Sweden,AIR SWEDEN,Sweden
WS,WJA,WestJet,WESTJET,Canada
WF,WIF,Wideroe,WIDEROE,Norway
WG,WIG,Wiggins Airways,WIGGINS AIRWAYS,USA
9C,WDA,Wimbi Dira Airways,WIMBI DIRA,Congo, Democratic Republic of the
IV,JET,Wind Jet,GHIBLI,Italy
7W,WRC,Wind Rose Aviation,WIND ROSE,Ukraine
WM,WIA,Windward Islands Airways,WINAIR,Netherlands Antilles
1W,WON,Wings Air,WINGS ABADI,Indonesia
K5,WAK,Wings of Alaska,WINGS ALASKA,USA
W6,WZZ,Wizz Air,WIZZ AIR,Hungary
W6,WVL,Wizz Air,WIZZBUL,Bulgaria
WO,WOA,World Airways,WORLD,USA
8V,WRF,Wright Air Service,WRIGHT FLYER,USA
SE,SEU,XL Airways France,STARWAY,France
9E,GXL,XL Airways Germany,STAR DUST,Germany
MF,CXA,Xiamen Airlines,XIAMEN AIR,China - Peoples Republic
XP,CXP,Xtra Airways,RUBY MOUNTAIN,USA
R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia
YL,LLM,Yamal Airlines,YAMAL,Russia
Y8,YZR,Yangtze River Express,YANGTZE RIVER,China - Peoples Republic
IY,IYE,Yemenia - Yemen Airways,YEMENI,Yemen
OE,ONA,Yeongnam Air,YEONGNAM AIR,South Korea
2N,UMK,Yuzmashavia,YUZMASH,Ukraine
K8,ZAK,Zambia Skyways,ZAMBIA SKIES,Zambia
Q3,MBN,Zambian Airways,ZAMBIANA,Zambia
6K,RIT,Zest Airways,ASIAN SPIRIT,Philippines
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
CO,FCB,Cobalt Air,APOLLO,Cyprus
0B,BMS,Blue Air,BLUE MESSENGER,France
HV,TRA,Transavia,TRANSAVIA,Netherlands
JU,ASL,Air Serbia,AIR SERBIA,Serbia
U2,EZY,easyJet,EASY,England
GF,GFA,Gulf Air,GULF AIR,Bahrain
D8,IBK,Norwegian Air International,NORTRANS,Norway
U2,EZY,easyJet,EASY,England
GH,GLP,Globus Airlines,GLOBUS,Russia
